DATE,SHIFT_CODE,OPERATOR_CODE,MACHINE,PRODUCT,SERIES,QUANTITY,DRUM_NUMBER,CONTROL_NUMBER
7-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL02955A ,01-04a-00001
7-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL02955B ,01-04a-00002
7-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL02955C ,01-04a-00003
7-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03056A ,01-04a-00004
7-Jan-25,1st,DITC,1,10-MIRA,2020," 50,000 ", AL03056B ,01-04a-00005
8-Jan-25,1st,DITC,1,10-MIRA,2020," 10,000 ", AL03056B ,01-04a-00005
8-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03056C ,01-04a-00006
8-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03264A ,01-04a-00007
8-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03264B ,01-04a-00008
8-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03264C ,01-04a-00009
8-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03189A ,01-04a-00010
9-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03189B ,01-04a-00011
9-Jan-25,1st,DITC,1,10-MIRA,2020," 65,000 ", AL03189C ,01-04a-00012
9-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03122A ,01-04a-00013
9-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03122B ,01-04a-00014
9-Jan-25,1st,DITC,1,10-MIRA,2020," 65,000 ", AL03122C ,01-04a-00015
10-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03001A ,01-04a-00016
10-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03001B ,01-04a-00017
10-Jan-25,1st,DITC,1,10-MIRA,2020," 65,000 ", AL03001C ,01-04a-00018
10-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03159A ,01-04a-00019
10-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03159B ,01-04a-00020
10-Jan-25,1st,DITC,1,10-MIRA,2020," 15,000 ", AL03159C ,01-04a-00021
13-Jan-25,1st,DITC,1,10-MIRA,2020," 50,000 ", AL03159C ,01-04a-00021
13-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03030A ,01-04a-00022
13-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03030B ,01-04a-00023
13-Jan-25,1st,DITC,1,10-MIRA,2020," 30,000 ", AL03030C ,01-04a-00024
14-Jan-25,1st,DITC,1,10-MIRA,2020," 40,000 ", AL03030C ,01-04a-00024
14-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03166A ,01-04a-00025
14-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03166B ,01-04a-00026
14-Jan-25,1st,DITC,1,10-MIRA,2020," 65,000 ", AL03166C ,01-04a-00027
14-Jan-25,1st,DITC,1,10-MIRA,2020," 60,000 ", AL03153A ,01-04a-00028
14-Jan-25,1st,DITC,1,10-MIRA,2020," 30,000 ", AL03153B ,01-04a-00029
14-Jan-25,1st OT,DITC,1,10-MIRA,2020," 30,000 ", AL03153B ,01-04a-00029
14-Jan-25,1st OT,DITC,1,10-MIRA,2020," 50,000 ", AL03153C ,01-04a-00030
15-Jan-25,1st,DITC,1,10-MIRA,2020," 15,000 ", AL03153C ,01-04a-00030
