DATE,SHIFT_CODE,OPERATOR_CODE,MACHINE,PRODUCT,SERIES,QUANTITY,DRUM_NUMBER,CONTROL_NUMBER
7-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01020B,09-04b-00001
7-Jan-25,1st,JMG,9,5-MIRA,2018,100700,JZ01020C,09-04b-00002
7-Jan-25,1st,JMG,9,5-MIRA,2018,80000,JZ01093A,09-04b-00003
8-Jan-25,1st,JMG,9,5-MIRA,2018,20000,JZ01093A,09-04b-00003
8-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01093B,09-04b-00004
8-Jan-25,1st,JMG,9,5-MIRA,2018,106300,JZ01093C,09-04b-00005
8-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ00429A,09-04b-00006
9-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ00429B,09-04b-00007
9-Jan-25,1st,JMG,9,5-MIRA,2018,100500,JZ00429C,09-04b-00008
9-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01255A,09-04b-00009
9-Jan-25,1st,JMG,9,5-MIRA,2018,30000,JZ01255B,09-04b-00010
10-Jan-25,1st,JMG,9,5-MIRA,2018,70000,JZ01255B,09-04b-00010
10-Jan-25,1st,JMG,9,5-MIRA,2018,100800,JZ01255C,09-04b-00011
10-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ00291A,09-04b-00012
10-Jan-25,1st,JMG,9,5-MIRA,2018,40000,JZ00291B,09-04b-00013
13-Jan-25,1st,MBV,9,5-MIRA,2018,60000,JZ00291B,09-04b-00013
13-Jan-25,1st,MBV,9,5-MIRA,2018,100000,JZ00291C,09-04b-00014
13-Jan-25,1st,MBV,9,5-MIRA,2018,100000,JZ01221A,09-04b-00015
13-Jan-25,1st,MBV,9,5-MIRA,2018,20000,JZ01221B,09-04b-00016
14-Jan-25,1st,HJB,9,5-MIRA,2018,80000,JZ01221B,09-04b-00016
14-Jan-25,1st,HJB,9,5-MIRA,2018,105000,JZ01221C,09-04b-00017
14-Jan-25,1st,HJB,9,5-MIRA,2018,100000,JZ01327A,09-04b-00018
14-Jan-25,1st OT,MBV,9,5-MIRA,2018,100000,JZ01327B,09-04b-00019
15-Jan-25,1st,JMG,9,5-MIRA,2018,102000,JZ01327C,09-04b-00020
15-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01187A,09-04b-00021
15-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01187B,09-04b-00022
15-Jan-25,1st,JMG,9,5-MIRA,2018,20000,JZ01187C,09-04b-00023
16-Jan-25,1st,JMG,9,5-MIRA,2018,82500,JZ01187C,09-04b-00023
16-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01157A,09-04b-00024
16-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01157B,09-04b-00025
16-Jan-25,1st,JMG,9,5-MIRA,2018,30000,JZ01157C,09-04b-00026
17-Jan-25,1st,JMG,9,5-MIRA,2018,74000,JZ01157C,09-04b-00026
17-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01318A,09-04b-00027
17-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01318B,09-04b-00028
17-Jan-25,1st,JMG,9,5-MIRA,2018,60000,JZ01318C,09-04b-00029
20-Jan-25,1st,JMG,9,5-MIRA,2018,43000,JZ01318C,09-04b-00029
20-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01348A,09-04b-00030
20-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01348B,09-04b-00031
20-Jan-25,1st,JMG,9,5-MIRA,2018,102000,JZ01348C,09-04b-00032
20-Jan-25,1st,JMG,9,5-MIRA,2018,20000,JZ01205A,09-04b-00033
21-Jan-25,1st,JMG,9,5-MIRA,2018,80000,JZ01205A,09-04b-00033
21-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01205B,09-04b-00034
21-Jan-25,1st,JMG,9,5-MIRA,2018,103500,JZ01205C,09-04b-00035
21-Jan-25,1st,JMG,9,5-MIRA,2018,80000,JZ01219A,09-04b-00036
22-Jan-25,1st,JMG,9,5-MIRA,2018,20000,JZ01219A,09-04b-00036
22-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01219B,09-04b-00037
22-Jan-25,1st,JMG,9,5-MIRA,2018,101300,JZ01219C,09-04b-00038
22-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01305A,09-04b-00039
23-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01305B,09-04b-00040
23-Jan-25,1st,JMG,9,5-MIRA,2018,107400,JZ01305C,09-04b-00041
23-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01180A,09-04b-00042
23-Jan-25,1st,JMG,9,5-MIRA,2018,23000,JZ01180B,09-04b-00043
24-Jan-25,1st,JMG,9,5-MIRA,2018,77000,JZ01180B,09-04b-00043
24-Jan-25,1st,JMG,9,5-MIRA,2018,101500,JZ01180C,09-04b-00044
24-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01201A,09-04b-00045
24-Jan-25,1st,JMG,9,5-MIRA,2018,70000,JZ01201B,09-04b-00046
24-Jan-25,1st OT,JMG,9,5-MIRA,2018,30000,JZ01201B,09-04b-00046
24-Jan-25,1st OT,JMG,9,5-MIRA,2018,60000,JZ01201C,09-04b-00047
27-Jan-25,1st,JMG,9,5-MIRA,2018,40520,JZ01201C,09-04b-00047
27-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01186A,09-04b-00048
27-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01186B,09-04b-00049
27-Jan-25,1st,JMG,9,5-MIRA,2018,25000,JZ01186C,09-04b-00050
27-Jan-25,1st OT,JMG,9,5-MIRA,2018,75500,JZ01186C,09-04b-00050
28-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01283A,09-04b-00051
28-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01283B,09-04b-00052
28-Jan-25,1st,JMG,9,5-MIRA,2018,80000,JZ01283C,09-04b-00053
28-Jan-25,1st OT,JMG,9,5-MIRA,2018,22400,JZ01283C,09-04b-00053
28-Jan-25,1st OT,JMG,9,5-MIRA,2018,60000,JZ01325A,09-04b-00054
30-Jan-25,1st,JMG,9,5-MIRA,2018,40000,JZ01325A,09-04b-00054
30-Jan-25,1st,JMG,9,5-MIRA,2018,100000,JZ01325B,09-04b-00055
30-Jan-25,1st,JMG,9,5-MIRA,2018,104200,JZ01325C,09-04b-00056
30-Jan-25,1st,JMG,9,5-MIRA,2018,70000,JZ01181A,09-04b-00057
30-Jan-25,1st OT,JMG,9,5-MIRA,2018,30000,JZ01181A,09-04b-00057
30-Jan-25,1st OT,JMG,9,5-MIRA,2018,60000,JZ01181B,09-04b-00058
31-Jan-25,1st,JMG,9,5-MIRA,2018,40000,JZ01181B,09-04b-00058
31-Jan-25,1st,JMG,9,5-MIRA,2018,101500,JZ01181C,09-04b-00059
31-Jan-25,1st,JMG,9,5-MIRA,2018,120200,JZ01182C,09-04b-00060
3-Feb-25,1st,DITC,9,5-MIRA,2018,100000,JZ01122A,09-04b-00061
3-Feb-25,1st,DITC,9,5-MIRA,2018,100000,JZ01122B,09-04b-00062
3-Feb-25,1st,DITC,9,5-MIRA,2018,100000,JZ01122C,09-04b-00063
3-Feb-25,1st OT,DITC,9,5-MIRA,2018,100000,JZ00700A,09-04b-00064
4-Feb-25,1st,DITC,9,5-MIRA,2018,100000,JZ00700B,09-04b-00065
4-Feb-25,1st,DITC,9,5-MIRA,2018,100000,JZ00700C,09-04b-00066
4-Feb-25,1st,DITC,9,5-MIRA,2018,100000,JL00546A,09-04b-00067
4-Feb-25,1st,DITC,9,5-MIRA,2018,10000,JL00546B,09-04b-00068
4-Feb-25,1st OT,DITC,9,5-MIRA,2018,80000,JL00546B,09-04b-00068
5-Feb-25,1st,DITC,9,5-MIRA,2018,10000,JL00546B,09-04b-00068
5-Feb-25,1st,DITC,9,5-MIRA,2018,105000,JL00546C,09-04b-00069
5-Feb-25,1st,DITC,9,5-MIRA,2018,100000,JL00698A,09-04b-00070
5-Feb-25,1st,DITC,9,5-MIRA,2018,100000,JL00698B,09-04b-00071
5-Feb-25,1st OT,ABA,9,5-MIRA,2018,100000,JL00698C,09-04b-00072
